sampleNumber,pitchMin,pitchMax,pitchAve,energy,duration,f0,f1,f2,emotion
1,173.2129955,445.0693068,259.7484039,0.035414204,1.8254375,1879.317977,4268.143612,0,Happy
2,119.3535214,238.9144047,183.5431824,0.043517296,1.7385,900.2808902,2731.501674,4608.552306,Happy
3,170.8072628,342.0864787,295.447784,0.022255915,1.4776875,1525.397375,2802.672926,0,Happy
4,211.8641171,525.1389028,286.6912539,0.045536774,1.6515625,1294.088,2912.170591,0,Happy
5,93.47357771,431.444073,228.8176608,0.014124764,1.6298125,834.168671,2306.635684,4616.595201,Happy
6,155.9385979,443.1553403,254.5471094,0.01891242,2.021,1117.555325,3208.370833,0,Happy
7,231.7307773,480.4299067,345.1156365,0.020347354,1.890625,834.624864,2532.988369,0,Happy
8,142.9914227,303.0308249,237.587033,0.045782419,1.7601875,387.1656143,2840.693438,4490.988124,Happy
9,76.19496768,258.5847728,198.6900402,0.016198871,1.564625,324.9229247,2078.094377,3991.275354,Happy
10,215.2828819,297.4101027,253.0924765,0.016344608,1.10825,1447.367772,2167.26183,4232.900906,Happy
11,173.0154096,304.2242088,221.6363895,0.027336599,1.7601875,1394.627531,3050.768139,0,Happy
12,139.5816778,258.1640596,209.0304382,0.024182668,1.2386875,1478.872113,3761.179047,0,Happy
13,142.2110952,187.5565432,169.9658779,0.023590901,1.8254375,325.6328541,2419.697155,4568.616632,Happy
14,189.244717,525.0175985,291.586581,0.020668288,1.6950625,2558.397924,4912.231516,0,Happy
15,75.58727969,485.4878186,294.7904429,0.023720797,1.31675,697.4616525,2735.640783,4482.090697,Happy
16,184.617179,271.0922495,225.3488773,0.017637774,1.303875,796.9447231,0,0,Happy
17,216.0730624,571.3085653,329.0261821,0.03605223,1.3690625,994.5234329,3643.074767,0,Happy
18,184.7201043,403.2307164,253.2319155,0.011920345,1.303875,1938.795807,4273.106622,0,Happy
19,210.9816652,454.2158999,284.8506388,0.016700175,1.43425,415.2067644,2386.628245,4582.698175,Happy
20,191.1591918,416.5423532,255.5721893,0.035739769,1.3690625,2349.854258,4722.160262,0,Happy
21,223.8515457,309.6309413,263.790836,0.035929448,1.43425,1365.56292,2057.268595,4610.027301,Happy
22,220.8953229,538.2023895,404.6949995,0.020807506,1.303875,1549.670913,3665.438075,0,Happy
23,180.889539,403.4851294,266.9982469,0.015724667,1.6298125,1423.473872,2342.383238,0,Happy
24,184.7831643,505.6496526,392.3531644,0.017104388,1.43425,640.3432,2052.014802,4329.658804,Happy
25,171.7255533,240.3698944,198.0667577,0.016759445,1.4995,2597.543849,3496.642407,0,Happy
26,211.0175364,428.7351078,283.751237,0.016634761,1.4994375,773.6787732,1709.556044,4129.432287,Happy
27,158.4456873,407.6779527,241.2204569,0.036355904,1.4994375,431.0699263,3357.865589,4908.121628,Happy
28,152.6982362,234.7254531,203.3325291,0.015049303,1.303875,1761.230913,0,0,Happy
29,201.3948409,419.4626565,283.7988275,0.039721054,1.4994375,2892.77068,4689.900239,0,Happy
30,176.7526926,443.787099,248.8460311,0.015931837,1.31675,547.7155407,1518.252244,4181.462608,Happy
31,153.6371899,322.6143859,211.9341576,0.03535968,1.6298125,1400.636533,3503.5576,4614.403091,Happy
32,126.7212622,225.9956276,180.8014227,0.029942807,1.4994375,1065.585589,3173.467445,0,Happy
33,144.9757476,406.4095229,256.691886,0.029032229,1.43425,1194.804939,2245.700565,4645.723727,Happy
34,190.8724102,247.0263356,208.3862182,0.016572162,1.43425,1086.031759,3717.333644,0,Happy
35,242.5901566,445.7201078,336.2554814,0.01301565,1.2386875,2669.410466,4810.34801,0,Happy
36,135.8952577,189.7934738,168.5089633,0.025355877,1.10825,1227.961737,4119.933566,0,Happy
37,222.7019023,492.3086738,276.5960011,0.019925345,1.3690625,2558.290616,4239.992695,0,Happy
38,201.6535793,351.5157509,233.395471,0.019481674,1.466875,994.819481,2342.03445,3393.810615,Happy
39,201.1579181,431.4154574,265.7921173,0.025168744,1.303875,425.1116909,2883.636375,0,Happy
40,159.8228772,259.7851483,213.377552,0.016014626,1.1735,651.2485866,2980.007597,0,Happy
41,223.1243039,571.0144223,393.1005328,0.03152984,1.303875,1511.024295,4089.005088,0,Happy
42,128.9535769,297.3159877,247.3490613,0.043451263,1.5646875,306.0858884,2662.934365,0,Happy
43,200.1098276,403.8631423,286.2105273,0.019615494,1.1734375,2253.439721,4652.70139,0,Happy
44,186.1877126,268.4663836,221.2474005,0.00955563,1.2386875,329.7851539,2434.097672,4332.260702,Happy
45,216.6228398,321.4637796,261.2414888,0.034545433,1.1850625,783.1439488,3077.338015,3789.917161,Happy
46,198.9195617,493.0008792,259.2837378,0.01397583,1.303875,1163.17323,3985.177284,0,Happy
47,125.5577255,227.0866229,190.9886008,0.018043391,1.4343125,1015.145106,3098.204726,0,Happy
48,158.9132818,257.1160324,223.4232735,0.023047862,1.6135625,846.7753639,2829.9262,0,Happy
49,220.3081865,522.2439585,327.662001,0.020911615,1.2386875,1235.302959,3608.172613,0,Happy
50,177.4404364,272.5487693,217.7047657,0.03061383,1.6788125,911.7006326,2043.725074,4467.538287,Happy
51,125.2547066,213.0438888,174.4644004,0.002841744,1.3646875,1296.92607,3273.434444,4570.405671,Happy
52,134.9964683,288.2410844,218.7644523,0.010239951,1.0555625,1154.230721,3672.962663,0,Happy
53,116.1354234,236.1505154,180.0775741,0.004365178,0.799625,527.0402303,2544.028948,4167.963643,Happy
54,159.7156545,296.1341107,224.0877195,0.00658428,1.0661875,984.4140624,3184.771189,3838.440364,Happy
55,157.5461624,412.1284737,212.9468901,0.001987105,0.9275625,989.4840901,2417.028595,4044.042908,Happy
56,98.62914296,361.7479065,249.2391944,0.005028335,1.0315625,1095.746164,2701.42879,4425.951496,Happy
57,177.831985,275.0990542,235.5659088,0.010432554,1.1335,930.3978424,3660.343387,3696.087761,Happy
58,138.37402,569.031261,288.3238312,0.015039151,1.279375,831.984342,3072.555745,3645.879761,Happy
59,147.7107342,275.3331408,240.9276757,0.012419612,1.194125,2566.819723,4541.576687,0,Happy
60,144.8485438,265.8996157,227.3148282,0.005805823,1.080375,1189.341645,2493.656143,3878.1614,Happy
61,152.0776483,262.4852156,212.3270627,0.008324399,0.8955625,735.4483199,2796.181386,4964.517222,Happy
62,80.9444834,561.5536311,324.7743134,0.024512726,1.9825,1034.956118,2854.435958,4360.70956,Happy
63,245.7050232,389.6143151,340.6790308,0.025867151,1.9825,348.7493674,2472.785311,4623.133508,Happy
64,189.9358532,380.2215487,324.9790181,0.013126155,1.840875,140.0935233,2488.077348,3973.595077,Happy
65,192.3615963,432.5179209,266.4399424,0.009024739,0.8955625,1055.62666,1581.045621,3974.170616,Happy
66,152.9049434,291.3265758,222.8494671,0.008435961,0.966625,1321.602979,2607.45982,4156.344686,Happy
67,169.2871304,471.3988888,290.2212169,0.008975317,0.90975,971.6493147,3111.857002,3906.730967,Happy
68,238.0097997,335.7727101,279.9385684,0.005742358,0.81025,1173.2917,3023.770407,0,Happy
69,108.479785,368.2193373,262.743748,0.002567712,0.81025,1324.103593,2587.155148,3666.064118,Happy
70,151.2811457,576.6007714,284.9565704,0.001392282,1.251,2306.589468,4151.032232,0,Happy
71,112.7663708,259.415724,190.7532808,0.011297766,0.980875,1079.125144,2711.015861,3954.686257,Happy
72,120.6023649,319.5133105,247.5228659,0.005460128,0.7249375,676.4126754,2577.319576,4690.5476,Happy
73,110.1336706,245.2774674,207.4440543,0.004473442,1.0661875,662.9459843,2563.384775,3837.650364,Happy
74,181.3556829,283.4207978,251.5490036,0.009215802,1.23675,1293.24327,2531.178986,4153.693097,Happy
75,166.3875501,259.3193862,212.6371863,0.004673174,1.1088125,1260.969564,3835.573359,0,Happy
76,213.9331363,343.0016507,283.8323835,0.017396257,1.279375,721.6598972,2820.003406,2946.993472,Happy
77,150.8850602,382.0648458,290.1381224,0.005983773,0.9381875,2232.011618,4012.023415,0,Happy
78,113.4869007,297.1899018,217.3425642,0.003901036,0.8955625,1385.573438,4019.359191,0,Happy
79,163.9405663,293.9275471,225.355801,0.002424023,0.7249375,1696.053651,4080.069559,0,Happy
80,164.2912495,315.1244761,263.6795489,0.008456879,1.279375,805.8564769,3112.618591,3550.278919,Happy
81,82.44897778,278.2201029,213.982267,0.006336106,1.3078125,961.6154087,2335.620668,3918.343661,Happy
82,163.8985254,321.3481919,267.0753777,0.012477917,1.0235,939.8029311,2446.460071,4013.619895,Happy
83,117.2855531,243.8181573,188.3014933,0.003891613,0.7676875,827.4344039,2355.203812,4389.822897,Happy
84,239.827558,285.0819694,268.9105912,0.012714937,1.0235625,1106.031462,3464.518619,0,Happy
85,227.1472059,308.3552443,278.2702301,0.004366422,0.81025,2540.979827,4510.752903,0,Happy
86,152.0102297,283.4813047,228.8224572,0.010934353,0.93825,694.4098037,2740.306974,4872.637923,Happy
87,184.3357405,385.9447118,266.08732,0.029281118,1.1514375,696.4315487,3042.748227,4628.658474,Happy
88,147.7625914,256.851549,218.308657,0.004289804,1.1088125,663.2628482,3275.981584,0,Happy
89,156.3070214,229.5171851,202.7080784,0.002096913,0.895625,784.0451519,3051.988875,0,Happy
90,231.7109195,282.6701495,258.04466,0.001322277,1.0235625,1020.958926,2854.537479,3992.639392,Happy
91,162.7028077,265.4957968,235.7815666,0.012292276,0.980875,1101.548581,3115.954738,4595.684912,Happy
92,167.7221798,255.4514749,222.1050238,0.007901469,0.980875,1163.302341,3274.034449,4494.59535,Happy
93,206.1231051,389.8942824,279.0780095,0.001120701,0.8103125,2233.582249,4324.091381,0,Happy
94,238.104236,326.2181669,271.085751,0.014623111,0.767625,744.0081323,2097.812011,4315.373432,Happy
95,188.3669157,278.7604292,255.4779006,0.01921595,1.1940625,885.4134459,2607.020281,3977.695804,Happy
96,165.0092337,300.1057087,231.2796892,0.005538143,0.93825,962.7780642,1238.196758,4416.769828,Happy
97,177.4283667,312.2423945,274.0919214,0.019849054,0.93825,1155.029492,2098.734168,4309.114921,Happy
98,274.14759,311.2597651,294.8058542,0.015560517,0.81025,1063.970985,2588.920317,4138.9246,Happy
99,135.1051149,306.4598474,245.7149912,0.025410725,1.13725,797.5012951,3474.129123,0,Happy
100,167.8424812,241.8919526,214.4964879,0.003530366,1.279375,1217.031199,3315.807007,0,Happy
101,127.616159,435.4877322,244.3425969,0.00222392,1.4763125,1169.700258,2727.831679,3785.441238,Happy
102,135.9452823,430.9798367,248.725808,0.00362966,1.4763125,895.8828393,2343.712238,3913.916658,Happy
103,113.3841363,226.9707917,188.8479286,0.001654232,1.3943125,2696.639411,3763.276219,0,Happy
104,195.3972925,306.4748394,260.9809356,0.008819731,1.4763125,830.0073321,1572.647495,3218.907322,Happy
105,156.8595849,260.6831006,215.7303792,0.001765185,1.3943125,787.6262099,2325.942504,3860.131169,Happy
106,135.9388953,343.6857019,260.7148427,0.004515321,1.3943125,1541.20946,4570.617799,0,Happy
107,178.896212,593.0717137,252.7652859,0.005083318,1.5583125,2229.203391,4442.707789,0,Happy
108,129.9730066,226.3212401,192.6544207,0.004652331,2.0504375,709.6150857,2304.277905,3811.720866,Happy
109,154.0024324,341.7522676,245.0182742,0.014091969,1.31225,1024.83462,3730.078175,0,Happy
110,119.5138754,350.7789073,264.1419646,0.005881551,1.3123125,1128.560849,2038.075312,4074.378275,Happy
111,149.297413,294.8647751,238.8068982,0.009059441,1.4763125,785.1112044,2630.491005,0,Happy
112,143.0314207,428.2948659,300.6871071,0.009021149,1.31225,1366.414893,1544.518178,4351.592124,Happy
113,156.976064,195.2843166,182.0930322,0.003633077,1.476375,2388.731129,2836.757654,0,Happy
114,164.4848164,271.5849812,240.4897649,0.002802238,1.722375,2456.377462,3676.710044,0,Happy
115,116.7276766,293.7836332,228.4502325,0.020592313,1.640375,310.8280453,2272.170332,4597.541933,Happy
116,125.6032157,239.9651446,199.1083605,0.00659962,2.0505,431.924119,2513.510329,3981.154838,Happy
117,138.3141822,341.6684664,244.4561363,0.002951381,1.2303125,2312.665569,4504.348989,0,Happy
118,157.1881272,200.2607619,181.3586256,0.001508079,1.3943125,2092.253492,4174.371229,0,Happy
119,273.2424435,301.8499137,286.293774,0.004504698,1.804375,2836.435875,4965.490474,0,Happy
120,105.0111599,339.0369606,241.8117836,0.001796937,0.9841875,556.8705383,2597.85557,4253.294105,Happy
121,133.2010841,335.7043662,257.5842887,0.016333304,1.4763125,1241.740793,2800.513426,0,Happy
122,241.6809737,436.9425959,353.8224144,0.003510064,1.4763125,2795.626299,4670.095691,0,Happy
123,151.9801577,300.6186636,237.3599646,0.006214313,1.4763125,2232.837109,4173.626576,0,Happy
124,179.0121375,311.9022441,253.9871678,0.006763594,1.31225,336.9603677,2115.397905,4513.077802,Happy
125,75.53854238,287.1428947,211.7448358,0.006459852,1.722375,2677.581641,5390.279767,0,Happy
126,132.6390466,300.9054944,211.8848163,0.01094444,1.14825,904.1441863,3334.914443,0,Happy
127,117.6181237,354.8627019,230.9857274,0.004989887,1.2303125,2924.560527,4717.20835,0,Happy
128,144.7282287,332.9910944,247.4913728,0.004523425,1.0661875,885.5237089,2394.922165,4095.899715,Happy
129,106.9743028,256.5387303,185.5529252,0.00433966,1.3123125,2676.406784,3733.45894,0,Happy
130,152.0088578,352.0803976,271.0371454,0.003770213,1.3943125,604.5217227,4342.446841,0,Happy
131,143.3144592,349.1879857,262.7622697,0.014168918,1.3943125,824.7831498,903.9787809,3995.808363,Happy
132,115.1410709,287.3541116,212.2927426,0.011401416,1.3943125,832.7090372,3715.181674,0,Happy
133,140.136162,221.4884584,200.645323,0.007518049,1.640375,1725.993631,3762.087236,0,Happy
134,291.6949809,334.3298304,309.34904,0.009416514,1.3943125,2073.064828,4545.423121,0,Happy
135,220.4239856,344.2284827,304.3178567,0.001433457,1.14825,2457.645181,4473.816598,0,Happy
136,224.0564249,311.6720008,249.320454,0.003583698,1.14825,956.5821251,2281.258587,3873.587378,Happy
